latlong
"[41.88028260000001, -87.6266976]"
"[41.89976799999999, -87.62359119999999]"
"[41.8010684, -87.6222052]"
"[41.7246189, -87.8949109]"
"[41.88851520000001, -87.62326569999999]"
"[41.9530956, -87.7489111]"
"[41.732594, -87.5509732]"
"[41.89726539999999, -87.6243355]"
"[41.8344519, -87.6214626]"
"[41.8830548, -87.6257722]"
"[41.8045309, -87.58449379999999]"
"[41.8577521, -87.6209904]"
"[41.84187, -87.6285013]"
"[41.9067683, -87.66331319999999]"
"[41.6840583, -87.713914]"
"[41.8490688, -87.62508009999999]"
"[41.853701, -87.618252]"
"[41.7892023, -87.6269483]"
"[41.9530845, -87.7336333]"
"[41.9278691, -87.6953594]"
"[41.9246847, -87.6395344]"
"[41.8883337, -87.6315171]"
"[41.88303399999999, -87.6282262]"
"[41.806666, -87.613497]"
"[41.8815897, -87.63210029999999]"
"[41.8212337, -87.62600169999999]"
"[41.7898033, -87.5959321]"
"[40.6250543, -73.91886989999999]"
"[41.8361277, -87.6178377]"
"[41.8790898, -87.6318574]"
"[41.98649390000001, -87.67517649999999]"
"[41.8903618, -87.7702989]"
"[41.6885919, -87.6120426]"
"[41.768999, -87.649202]"
"[41.688878, -87.61153449999999]"
"[41.90302, -87.6725029]"
"[41.9393018, -87.68302829999999]"
"[41.9396389, -87.66341159999999]"
"[41.8304345, -87.6853268]"
"[41.9752473, -87.66015519999999]"
"[41.857638, -87.6399825]"
"[41.9474657, -87.7352863]"
"[41.869682, -87.7096229]"
"[41.8557309, -87.6243914]"
"[41.9101022, -87.626679]"
"[41.9015925, -87.633792]"
"[37.7533314, -122.4245828]"
"[41.9687669, -87.65911229999999]"
"[41.7729617, -87.5670653]"
"[41.8883002, -87.62442899999999]"
"[41.7932043, -87.6013431]"
"[41.8844228, -87.6442117]"
"[41.871849, -87.62810999999999]"
"[41.8346732, -87.6612157]"
"[41.9502818, -88.0319073]"
"[25.8546657, -80.2676968]"
"[41.9188524, -87.6340886]"
"[41.7683018, -87.563868]"
"[41.82459619999999, -87.62270439999999]"
"[41.8097178, -87.6061021]"
"[41.8309626, -87.6520209]"
"[41.7783848, -87.5957966]"
"[41.8674221, -87.6540543]"
"[41.7808551, -87.5801615]"
"[41.8312342, -87.6106404]"
"[41.88487660000001, -87.6333689]"
"[41.818776, -87.6463589]"
"[41.8308586, -87.6185982]"
"[29.41442929999999, -98.4210585]"
"[41.9332022, -87.6415895]"
"[41.9799644, -87.6685351]"
"[41.9353289, -87.6549668]"
"[41.8578096, -87.6571778]"
"[41.927544, -87.6395488]"
"[41.8858903, -87.77160579999999]"
"[41.906019, -87.6304763]"
"[41.8932835, -87.6278213]"
"[41.8903627, -87.62364989999999]"
"[41.7718921, -87.6352601]"
"[41.8860306, -87.6337095]"
"[42.0095371, -87.8132715]"
"[41.882118, -87.666117]"
"[41.8786578, -87.6401556]"
"[41.8187569, -87.6487755]"
"[41.8370978, -87.6219387]"
"[41.9695184, -87.6600055]"
"[41.9320533, -87.692008]"
"[41.890487, -87.6328674]"
"[41.8310702, -87.6172979]"
"[41.9409518, -87.7235522]"
"[41.9107959, -87.6318106]"
"[41.8663841, -87.6873372]"
"[41.8256187, -87.6243803]"
"[41.8815243, -87.7653157]"
"[41.7040861, -87.65246169999999]"
"[41.8829409, -87.6340523]"
"[41.805619, -87.6153018]"
"[41.8243586, -87.61980059999999]"
"[41.8813635, -87.6866861]"
"[41.8549644, -87.61944729999999]"
"[41.9538014, -87.7326396]"
"[41.8526228, -87.6253376]"
"[41.9942826, -87.82177659999999]"
"[41.8935794, -87.624611]"
"[41.843258, -87.6199479]"
"[41.9474473, -87.6560538]"
"[36.0692031, -95.920267]"
"[41.91117200000001, -87.64797329999999]"
